moisture,temperature,ph,ec,nitrogen,phosphorus,potassium,disease
24.8,29.9,6.0,480.4,41.9,28.1,30.7,fusarium_wilt
22.7,28.0,6.27,568.1,54.4,31.6,54.9,fusarium_wilt
28.2,28.5,5.62,659.7,40.9,26.3,33.6,fusarium_wilt
22.4,25.0,5.89,548.6,34.7,21.6,42.4,fusarium_wilt
15.9,22.8,5.86,573.4,48.3,31.0,32.4,fusarium_wilt
18.8,23.6,5.62,563.0,45.3,34.2,52.0,fusarium_wilt
29.5,21.5,6.46,617.9,39.2,21.2,47.2,fusarium_wilt
22.3,23.4,6.01,410.3,58.5,29.3,53.4,fusarium_wilt
20.8,22.7,6.48,581.7,55.8,37.0,41.5,fusarium_wilt
24.9,29.0,6.29,636.5,46.5,30.5,39.8,fusarium_wilt
25.5,25.8,5.88,555.9,51.9,33.5,34.6,fusarium_wilt
19.4,24.3,5.71,404.3,31.0,38.0,37.8,fusarium_wilt
20.8,26.1,5.79,471.6,34.3,24.1,38.9,fusarium_wilt
15.6,23.1,5.51,560.1,58.8,33.2,51.4,fusarium_wilt
28.8,25.6,6.17,504.7,30.6,30.7,53.1,fusarium_wilt
15.6,25.6,6.17,462.1,39.2,27.1,58.6,fusarium_wilt
20.7,22.5,5.61,627.7,51.2,35.4,48.0,fusarium_wilt
24.1,28.8,6.24,509.1,42.3,38.1,39.1,fusarium_wilt
29.0,22.6,6.5,680.7,50.4,35.2,39.6,fusarium_wilt
18.5,29.1,5.83,614.5,31.3,22.0,51.4,fusarium_wilt
27.3,27.2,5.71,654.1,50.9,34.6,38.9,fusarium_wilt
22.3,27.2,6.3,640.6,58.4,31.6,36.0,fusarium_wilt
20.8,25.2,6.48,517.0,35.1,26.5,36.0,fusarium_wilt
28.7,26.2,5.98,627.1,55.4,32.1,56.3,fusarium_wilt
26.5,24.8,6.49,620.3,53.3,38.0,44.9,fusarium_wilt
17.1,22.9,5.79,660.1,33.8,39.6,37.1,fusarium_wilt
28.5,25.4,5.58,564.8,51.7,35.3,50.1,fusarium_wilt
26.4,24.3,6.12,493.5,51.9,34.9,44.2,fusarium_wilt
26.5,23.4,5.89,478.8,51.1,26.5,30.6,fusarium_wilt
18.5,25.0,6.46,506.0,52.8,37.1,42.2,fusarium_wilt
29.0,25.5,6.39,587.0,47.3,32.0,38.2,fusarium_wilt
27.1,25.0,6.31,568.7,39.2,32.9,56.4,fusarium_wilt
17.3,23.3,5.64,436.7,59.3,21.1,40.5,fusarium_wilt
17.1,20.2,5.79,541.0,30.9,33.0,50.4,fusarium_wilt
27.8,20.5,6.29,417.8,51.1,35.2,44.5,fusarium_wilt
17.7,27.0,6.38,681.0,42.3,24.7,34.3,fusarium_wilt
28.2,25.5,5.98,698.3,46.5,39.4,43.3,fusarium_wilt
18.2,22.2,5.61,465.2,40.9,32.9,40.6,fusarium_wilt
28.6,28.3,6.28,606.0,32.7,31.1,54.7,fusarium_wilt
25.6,21.0,5.81,427.9,51.1,26.8,47.7,fusarium_wilt
21.1,27.2,5.98,589.0,34.4,37.6,58.1,fusarium_wilt
27.1,23.5,5.8,659.0,47.8,32.2,30.7,fusarium_wilt
22.3,23.9,5.81,517.5,46.5,34.2,54.8,fusarium_wilt
16.4,28.5,6.12,451.0,48.4,20.3,53.4,fusarium_wilt
29.5,25.0,5.74,655.9,55.4,33.0,33.6,fusarium_wilt
28.2,21.5,5.94,660.8,31.4,28.7,44.5,fusarium_wilt
27.1,21.9,6.47,656.3,39.1,27.2,44.0,fusarium_wilt
18.0,22.3,6.34,675.5,43.3,39.1,50.8,fusarium_wilt
18.9,22.2,6.17,620.8,49.0,32.9,55.8,fusarium_wilt
17.0,21.7,6.42,423.2,31.9,39.9,38.3,fusarium_wilt
23.9,24.5,6.15,526.4,49.5,29.0,30.9,fusarium_wilt
29.2,22.7,6.02,607.5,32.3,31.9,42.7,fusarium_wilt
18.4,26.3,6.26,692.1,49.6,38.8,43.3,fusarium_wilt
17.4,23.9,6.49,518.3,36.6,20.4,39.5,fusarium_wilt
15.7,23.0,6.38,416.8,53.3,30.5,31.2,fusarium_wilt
20.1,24.8,6.15,542.2,44.1,33.0,59.2,fusarium_wilt
16.3,23.5,5.79,516.1,55.6,29.0,30.8,fusarium_wilt
24.4,23.3,6.27,555.2,44.0,37.3,51.5,fusarium_wilt
20.5,21.9,6.32,438.1,44.4,22.4,30.5,fusarium_wilt
21.5,25.6,5.54,589.2,51.1,38.5,47.0,fusarium_wilt
20.1,29.9,6.07,477.2,51.2,39.5,31.1,fusarium_wilt
28.1,24.5,6.21,420.1,57.8,23.5,40.4,fusarium_wilt
25.6,21.4,5.56,619.0,35.5,32.0,41.5,fusarium_wilt
28.9,27.6,5.98,601.4,46.8,20.0,51.4,fusarium_wilt
22.6,26.5,5.88,541.2,32.4,22.8,49.8,fusarium_wilt
28.7,28.6,5.63,673.1,30.6,27.1,55.4,fusarium_wilt
15.5,26.0,6.48,512.7,52.5,21.1,46.4,fusarium_wilt
17.1,29.2,5.59,663.9,44.6,34.4,42.2,fusarium_wilt
23.7,29.8,6.29,434.9,47.8,37.0,40.5,fusarium_wilt
20.4,20.9,5.87,613.6,32.3,35.2,49.2,fusarium_wilt
24.7,28.7,5.76,529.1,48.4,26.1,44.9,fusarium_wilt
26.2,24.9,6.27,504.1,42.1,20.7,37.4,fusarium_wilt
23.6,22.8,5.98,500.6,56.5,31.4,45.2,fusarium_wilt
16.2,24.0,6.32,603.2,46.6,21.1,30.8,fusarium_wilt
27.1,23.1,6.13,427.0,49.3,35.1,55.5,fusarium_wilt
17.1,28.7,5.98,422.3,49.0,33.2,32.5,fusarium_wilt
29.5,21.3,6.23,507.0,38.5,36.3,32.0,fusarium_wilt
29.4,22.3,5.62,410.2,53.1,38.6,40.2,fusarium_wilt
19.1,22.6,6.16,459.1,37.5,26.1,39.3,fusarium_wilt
16.3,27.4,6.31,682.6,33.0,37.3,30.3,fusarium_wilt
23.7,26.2,5.94,463.4,46.3,28.7,32.9,fusarium_wilt
29.0,26.0,5.85,632.6,47.8,39.4,40.1,fusarium_wilt
27.5,29.1,5.56,560.6,58.5,39.6,40.7,fusarium_wilt
26.7,22.5,5.76,459.0,35.0,31.1,59.6,fusarium_wilt
15.3,30.0,5.52,430.1,41.8,27.8,53.7,fusarium_wilt
16.0,24.8,6.48,694.2,36.5,39.8,40.2,fusarium_wilt
18.5,23.9,5.85,651.1,46.2,23.6,48.0,fusarium_wilt
29.6,25.9,6.16,615.4,32.7,37.5,48.2,fusarium_wilt
22.0,27.4,5.53,583.9,50.0,21.9,47.4,fusarium_wilt
16.4,24.3,6.42,552.6,38.6,24.4,36.8,fusarium_wilt
26.2,20.9,6.2,427.4,56.6,36.3,35.6,fusarium_wilt
29.1,20.8,5.58,438.4,44.2,31.9,51.9,fusarium_wilt
16.1,28.7,5.57,410.9,31.2,39.6,31.3,fusarium_wilt
15.0,20.6,6.43,452.8,48.4,36.6,34.1,fusarium_wilt
18.2,25.3,5.57,440.2,47.7,22.7,50.3,fusarium_wilt
27.6,29.7,5.55,603.5,33.4,39.2,54.2,fusarium_wilt
25.0,22.8,6.12,587.6,45.5,21.1,31.3,fusarium_wilt
28.9,26.7,6.4,475.4,54.7,22.6,54.6,fusarium_wilt
22.8,26.5,5.57,452.2,35.2,26.0,44.6,fusarium_wilt
26.5,22.6,6.3,479.9,49.6,24.3,48.7,fusarium_wilt
21.1,22.5,5.85,410.1,31.5,37.6,42.6,fusarium_wilt
21.3,24.1,6.39,534.0,33.9,23.2,53.6,fusarium_wilt
27.9,28.8,6.5,555.0,30.8,32.3,52.8,fusarium_wilt
28.0,26.1,6.19,455.3,45.0,37.9,47.3,fusarium_wilt
19.8,27.7,6.04,699.2,46.8,31.2,43.9,fusarium_wilt
21.2,21.7,6.04,462.2,32.9,26.7,47.7,fusarium_wilt
23.3,28.0,6.3,528.6,54.2,31.2,56.6,fusarium_wilt
15.8,23.9,6.3,556.3,42.4,34.6,35.7,fusarium_wilt
21.5,27.1,6.27,637.8,33.2,23.8,34.0,fusarium_wilt
15.3,25.0,5.51,504.9,49.6,20.9,49.5,fusarium_wilt
24.8,25.3,5.79,470.8,55.0,39.9,37.4,fusarium_wilt
16.9,24.9,6.24,665.0,30.9,38.1,54.2,fusarium_wilt
29.7,26.7,5.67,430.3,43.5,21.0,47.0,fusarium_wilt
24.7,25.6,6.06,682.2,54.9,35.9,43.3,fusarium_wilt
21.4,22.4,5.62,604.3,46.9,26.1,44.3,fusarium_wilt
17.2,26.6,6.2,635.8,34.0,30.8,30.7,fusarium_wilt
20.7,22.0,5.8,437.7,53.8,24.0,41.8,fusarium_wilt
24.2,28.5,6.42,630.8,41.4,31.7,46.8,fusarium_wilt
27.0,27.2,6.1,407.6,56.4,30.2,58.5,fusarium_wilt
29.8,23.2,6.37,497.7,56.9,28.4,50.8,fusarium_wilt
27.4,24.5,5.68,480.2,53.4,38.5,30.8,fusarium_wilt
22.5,29.9,6.28,552.5,48.3,23.1,53.6,fusarium_wilt
25.6,28.3,5.55,648.6,30.3,24.7,43.7,fusarium_wilt
29.0,24.1,6.37,527.5,32.4,22.1,52.0,fusarium_wilt
25.3,20.5,5.91,618.3,50.1,36.5,52.3,fusarium_wilt
21.3,29.2,5.86,610.2,48.2,35.5,48.0,fusarium_wilt
26.6,22.8,6.0,581.1,57.6,22.5,56.2,fusarium_wilt
29.4,24.0,5.95,415.6,55.7,23.1,44.8,fusarium_wilt
25.4,24.2,6.09,607.7,44.0,24.8,36.6,fusarium_wilt
24.7,21.7,5.99,686.2,58.6,21.2,55.9,fusarium_wilt
28.6,25.2,6.48,440.6,42.2,29.0,39.8,fusarium_wilt
26.4,26.8,6.37,660.1,58.3,25.5,41.8,fusarium_wilt
23.6,27.2,5.85,699.4,58.6,24.1,40.8,fusarium_wilt
19.4,25.5,6.03,440.1,53.9,39.8,58.2,fusarium_wilt
21.5,26.6,6.24,611.6,47.7,35.2,42.7,fusarium_wilt
28.4,24.3,5.89,513.5,45.0,25.0,46.7,fusarium_wilt
23.3,22.5,6.24,642.5,42.0,20.9,59.5,fusarium_wilt
16.9,21.1,6.31,617.7,39.4,29.8,48.2,fusarium_wilt
22.5,28.4,6.14,557.1,55.5,35.9,51.8,fusarium_wilt
28.8,20.1,5.82,693.1,49.8,23.7,43.5,fusarium_wilt
18.0,25.2,5.94,443.0,56.9,36.9,41.4,fusarium_wilt
28.9,20.4,6.46,417.4,51.9,35.4,30.7,fusarium_wilt
22.8,29.9,6.48,554.6,39.0,39.3,41.7,fusarium_wilt
20.4,24.3,5.69,427.8,60.0,23.1,47.8,fusarium_wilt
29.2,22.1,6.34,469.8,44.8,36.5,38.3,fusarium_wilt
15.4,26.6,6.38,411.5,56.0,35.2,52.0,fusarium_wilt
29.7,27.6,6.24,616.9,34.2,35.2,52.6,fusarium_wilt
20.3,22.8,6.45,480.5,57.8,29.4,49.4,fusarium_wilt
29.8,24.6,6.38,450.8,46.3,27.8,49.1,fusarium_wilt
29.9,21.2,6.38,555.0,40.9,36.4,51.3,fusarium_wilt
15.9,20.1,5.93,526.1,48.8,38.3,38.9,fusarium_wilt
21.9,30.4,6.16,705.8,51.0,22.0,52.2,bacterial_wilt
34.7,22.3,6.51,750.1,44.0,25.4,33.3,bacterial_wilt
30.9,31.9,6.83,557.9,47.0,27.3,32.2,bacterial_wilt
28.1,24.0,6.32,754.0,38.1,39.5,31.8,bacterial_wilt
30.6,22.3,6.01,591.7,30.0,34.2,53.2,bacterial_wilt
28.8,30.2,6.23,779.9,41.1,38.6,58.9,bacterial_wilt
28.5,30.5,6.74,508.9,55.3,21.4,53.6,bacterial_wilt
31.6,25.2,6.47,659.2,50.8,20.4,44.3,bacterial_wilt
20.6,25.7,6.65,549.2,47.3,24.8,51.0,bacterial_wilt
26.2,32.0,6.2,737.3,33.1,24.9,36.8,bacterial_wilt
35.4,31.8,6.18,618.4,56.0,27.9,35.5,bacterial_wilt
39.4,28.1,6.53,654.8,39.0,35.2,32.6,bacterial_wilt
38.2,25.3,6.63,563.9,52.7,37.5,54.6,bacterial_wilt
33.7,31.4,6.64,607.5,33.3,32.0,43.7,bacterial_wilt
37.9,29.7,6.73,530.6,46.7,38.8,45.8,bacterial_wilt
21.9,27.0,6.61,677.7,41.9,32.7,52.7,bacterial_wilt
31.7,29.0,6.37,530.3,33.2,39.3,37.5,bacterial_wilt
21.3,27.9,6.39,636.6,45.6,37.6,59.1,bacterial_wilt
37.4,31.0,6.93,721.4,44.3,24.8,33.9,bacterial_wilt
23.5,23.6,6.76,619.9,43.7,25.8,30.9,bacterial_wilt
34.5,31.2,6.6,523.2,31.8,23.7,59.6,bacterial_wilt
31.7,22.1,6.22,633.7,51.9,25.1,35.1,bacterial_wilt
30.1,26.7,6.82,743.9,43.4,20.2,49.8,bacterial_wilt
27.4,26.0,6.2,776.6,35.4,28.4,36.2,bacterial_wilt
39.5,27.8,6.96,765.6,56.4,29.5,38.3,bacterial_wilt
26.3,24.8,6.18,665.7,46.6,38.0,41.2,bacterial_wilt
25.0,25.7,6.07,572.6,43.6,37.6,39.2,bacterial_wilt
32.8,27.3,6.26,535.6,55.3,33.0,40.6,bacterial_wilt
36.1,24.0,6.14,631.1,44.6,31.4,35.0,bacterial_wilt
20.3,31.3,6.56,761.0,53.5,22.0,31.1,bacterial_wilt
22.0,23.1,6.45,745.6,50.7,21.3,32.6,bacterial_wilt
35.0,22.9,6.65,743.6,43.1,26.4,49.4,bacterial_wilt
34.8,24.2,6.47,683.5,51.1,23.5,47.3,bacterial_wilt
39.9,24.1,6.01,705.9,41.2,23.3,36.7,bacterial_wilt
22.6,28.3,6.81,646.2,53.8,21.1,50.5,bacterial_wilt
22.0,23.0,6.54,677.5,58.4,37.8,54.2,bacterial_wilt
39.7,25.7,6.38,714.6,38.3,27.1,30.3,bacterial_wilt
36.2,22.2,6.37,791.8,50.8,25.7,46.3,bacterial_wilt
25.4,29.0,6.6,640.8,30.9,35.5,55.9,bacterial_wilt
32.9,27.0,6.08,578.7,38.5,39.4,43.7,bacterial_wilt
20.1,29.4,6.43,734.1,57.9,34.0,35.4,bacterial_wilt
29.3,29.9,6.36,618.9,41.6,26.7,38.2,bacterial_wilt
27.0,29.8,6.06,619.3,30.6,24.4,59.4,bacterial_wilt
27.3,28.3,6.74,524.3,50.4,20.4,38.9,bacterial_wilt
38.1,31.0,6.65,511.8,40.2,32.5,57.4,bacterial_wilt
23.0,28.5,6.21,673.3,41.7,32.8,50.1,bacterial_wilt
26.4,31.3,6.65,732.9,46.9,27.0,37.4,bacterial_wilt
24.7,29.9,6.27,602.5,55.9,33.7,32.2,bacterial_wilt
33.9,27.6,6.1,776.5,33.9,27.4,31.9,bacterial_wilt
31.0,31.8,6.7,703.0,58.1,34.0,43.7,bacterial_wilt
25.6,30.3,6.55,778.2,58.7,35.4,49.9,bacterial_wilt
31.3,24.8,6.76,757.6,52.2,23.8,40.3,bacterial_wilt
37.9,26.4,6.44,635.4,59.8,32.2,43.3,bacterial_wilt
28.9,29.4,6.53,694.7,56.9,38.4,48.2,bacterial_wilt
32.2,31.6,6.79,547.2,55.3,36.1,48.8,bacterial_wilt
38.6,28.4,6.57,521.0,37.1,38.0,46.0,bacterial_wilt
22.1,22.3,6.67,572.6,39.7,23.4,42.6,bacterial_wilt
35.8,25.3,6.34,574.1,49.5,37.8,40.7,bacterial_wilt
35.3,24.4,6.04,738.9,44.8,20.0,39.4,bacterial_wilt
35.0,27.4,6.09,541.0,55.8,32.5,52.9,bacterial_wilt
33.3,29.6,6.6,628.0,31.9,27.5,52.5,bacterial_wilt
21.3,26.4,6.98,693.3,35.0,24.9,33.9,bacterial_wilt
29.3,25.9,6.12,530.7,30.7,26.8,37.3,bacterial_wilt
30.0,28.9,6.65,509.1,31.0,35.6,48.1,bacterial_wilt
22.8,23.1,6.19,540.3,34.5,25.3,52.0,bacterial_wilt
25.9,30.4,6.3,555.5,36.2,33.9,47.3,bacterial_wilt
29.5,28.6,6.69,564.2,53.1,24.3,39.9,bacterial_wilt
26.2,27.2,6.7,632.0,33.3,37.0,36.1,bacterial_wilt
36.0,31.2,6.86,732.9,31.8,32.4,46.3,bacterial_wilt
29.7,23.9,6.38,567.4,49.9,38.7,39.1,bacterial_wilt
21.4,27.3,6.04,707.9,31.4,22.9,42.0,bacterial_wilt
36.5,28.5,6.36,750.6,54.5,24.6,34.0,bacterial_wilt
23.9,28.3,6.78,701.6,50.7,27.1,37.4,bacterial_wilt
38.8,31.5,6.19,741.1,31.0,21.9,46.8,bacterial_wilt
20.6,31.7,6.15,753.7,37.4,37.9,44.5,bacterial_wilt
36.1,31.2,6.12,667.4,36.3,24.6,53.4,bacterial_wilt
27.0,29.4,6.92,652.9,47.6,34.7,44.2,bacterial_wilt
36.8,26.4,6.07,776.7,47.0,26.3,58.9,bacterial_wilt
27.3,31.7,6.09,745.6,38.2,37.3,36.4,bacterial_wilt
24.8,28.6,6.86,538.2,57.2,24.3,49.5,bacterial_wilt
31.0,25.9,6.65,672.1,46.2,23.2,55.4,bacterial_wilt
32.7,32.0,6.24,699.8,54.3,39.5,33.1,bacterial_wilt
36.3,22.8,6.77,598.7,53.4,25.7,55.0,bacterial_wilt
32.8,26.8,6.82,776.9,43.3,39.3,53.4,bacterial_wilt
35.3,28.9,6.04,669.7,38.4,27.3,42.3,bacterial_wilt
22.3,31.5,6.97,641.5,32.4,25.6,42.3,bacterial_wilt
32.6,31.0,6.99,569.9,47.3,39.8,57.3,bacterial_wilt
33.6,28.3,6.13,648.9,32.5,34.4,45.8,bacterial_wilt
27.1,30.7,6.69,618.8,44.9,27.4,32.0,bacterial_wilt
34.4,25.0,6.13,619.5,59.8,37.7,55.6,bacterial_wilt
32.6,22.1,6.7,792.5,59.0,25.2,57.6,bacterial_wilt
26.1,28.4,6.4,733.8,39.0,28.6,33.0,bacterial_wilt
24.6,32.0,6.15,551.4,47.2,35.2,35.0,bacterial_wilt
31.1,27.9,6.55,755.5,32.9,39.0,36.4,bacterial_wilt
38.0,29.4,6.4,540.0,47.7,30.7,44.6,bacterial_wilt
28.0,28.5,6.68,651.7,60.0,26.6,59.1,bacterial_wilt
34.4,23.0,6.71,685.0,47.5,25.2,52.1,bacterial_wilt
22.7,29.5,6.96,517.6,30.6,30.6,41.0,bacterial_wilt
24.6,24.4,6.11,660.7,40.5,26.9,41.3,bacterial_wilt
27.8,22.8,6.88,659.0,57.5,35.9,40.5,bacterial_wilt
20.1,30.9,6.55,637.5,51.7,37.7,50.0,bacterial_wilt
35.3,31.1,6.89,703.9,39.6,29.2,32.7,bacterial_wilt
34.8,31.7,6.3,570.0,47.5,24.9,37.3,bacterial_wilt
24.9,25.3,6.96,554.2,58.1,24.7,58.8,bacterial_wilt
22.3,27.1,6.88,536.5,32.0,30.2,45.4,bacterial_wilt
35.5,22.3,6.86,667.0,44.4,24.9,55.5,bacterial_wilt
35.5,22.7,6.94,568.4,52.3,23.9,38.3,bacterial_wilt
33.1,30.1,6.72,779.7,57.0,40.0,51.5,bacterial_wilt
22.0,24.2,6.13,579.8,42.9,25.1,45.0,bacterial_wilt
35.1,27.6,6.48,791.7,43.2,39.7,38.6,bacterial_wilt
31.5,27.2,6.91,729.0,55.4,30.0,35.8,bacterial_wilt
36.1,26.1,6.37,500.8,37.0,31.6,42.7,bacterial_wilt
24.1,31.7,6.61,683.5,49.2,25.1,38.0,bacterial_wilt
37.9,30.5,6.18,788.6,32.0,22.9,49.2,bacterial_wilt
35.5,27.3,6.14,570.7,39.5,24.5,53.4,bacterial_wilt
25.2,24.4,6.82,593.4,57.7,40.0,53.6,bacterial_wilt
36.1,26.1,6.27,705.3,30.3,40.0,30.1,bacterial_wilt
34.8,31.8,6.81,796.2,36.7,25.8,48.3,bacterial_wilt
29.6,22.1,6.42,554.2,58.3,28.4,30.2,bacterial_wilt
27.0,29.5,6.77,691.4,51.6,26.8,49.6,bacterial_wilt
36.0,25.0,6.27,639.4,51.2,31.8,44.4,bacterial_wilt
25.6,30.1,6.82,621.6,55.1,28.2,30.3,bacterial_wilt
32.5,22.3,6.23,708.6,52.6,35.1,58.6,bacterial_wilt
21.8,24.4,6.23,732.3,56.7,24.6,54.3,bacterial_wilt
33.3,29.0,6.79,613.2,41.0,23.5,30.3,bacterial_wilt
22.2,30.1,6.35,550.2,38.1,30.2,41.5,bacterial_wilt
37.4,23.3,6.28,783.3,49.1,25.8,45.9,bacterial_wilt
26.6,26.7,6.94,780.2,30.2,30.5,58.2,bacterial_wilt
24.1,23.6,6.38,619.7,37.8,36.7,38.8,bacterial_wilt
34.0,30.0,6.34,787.9,57.8,21.2,47.3,bacterial_wilt
20.9,31.8,6.59,642.7,54.0,26.2,46.9,bacterial_wilt
37.1,22.5,6.73,500.5,43.6,38.4,49.0,bacterial_wilt
21.8,24.1,6.83,529.7,54.8,22.4,38.6,bacterial_wilt
26.5,26.9,6.53,714.6,45.4,22.1,44.3,bacterial_wilt
26.5,30.0,6.95,553.9,36.6,29.8,38.4,bacterial_wilt
26.6,23.3,6.1,555.4,33.3,34.8,49.7,bacterial_wilt
29.2,27.8,6.9,509.4,31.5,24.7,51.6,bacterial_wilt
29.4,26.9,6.21,534.6,37.4,22.6,39.8,bacterial_wilt
28.7,22.5,6.88,615.9,55.5,23.6,42.5,bacterial_wilt
35.6,28.5,6.67,527.0,55.5,34.9,46.9,bacterial_wilt
28.8,26.2,6.39,652.5,43.1,21.2,36.3,bacterial_wilt
25.6,31.2,6.25,526.0,45.1,31.5,32.9,bacterial_wilt
33.9,25.9,6.81,598.6,35.5,39.0,31.0,bacterial_wilt
22.0,23.7,6.94,581.8,58.4,26.7,35.3,bacterial_wilt
35.6,26.8,6.36,562.7,47.6,35.2,58.6,bacterial_wilt
20.7,24.1,6.28,715.8,42.7,25.4,46.8,bacterial_wilt
31.0,23.8,6.72,712.5,58.7,23.4,34.2,bacterial_wilt
23.4,25.0,6.22,502.2,59.1,33.8,38.5,bacterial_wilt
34.9,22.0,6.7,753.2,59.8,24.3,34.3,bacterial_wilt
30.5,22.4,6.17,541.9,56.4,38.9,36.9,bacterial_wilt
34.6,27.4,6.64,781.7,45.6,25.4,47.9,bacterial_wilt
35.0,24.4,6.56,699.3,33.2,22.8,49.6,bacterial_wilt
27.3,25.9,6.66,636.8,35.7,38.5,34.8,bacterial_wilt
21.4,25.3,6.23,743.7,45.0,31.5,44.5,bacterial_wilt
21.9,27.1,6.88,643.8,35.8,40.0,30.5,bacterial_wilt
31.8,23.9,6.14,714.4,57.1,32.2,47.0,bacterial_wilt
24.0,30.8,6.32,674.5,52.9,26.9,59.5,bacterial_wilt
26.2,22.8,6.54,588.4,45.4,21.7,42.9,bacterial_wilt
33.5,30.2,6.43,787.2,34.0,30.7,31.6,bacterial_wilt
26.8,28.9,6.59,588.7,45.4,26.8,31.7,bacterial_wilt
31.2,25.2,6.86,738.8,45.2,24.6,57.7,bacterial_wilt
27.2,27.5,6.57,698.4,46.2,39.6,50.7,bacterial_wilt
24.3,31.0,6.8,555.0,51.1,33.1,41.1,bacterial_wilt
22.5,22.3,6.74,764.5,36.0,36.4,54.7,bacterial_wilt
22.9,24.0,6.38,725.8,40.7,24.0,46.5,bacterial_wilt
31.4,28.3,6.1,576.5,48.6,31.1,48.9,bacterial_wilt
34.1,28.1,6.51,565.1,44.9,39.4,41.2,bacterial_wilt
28.9,31.6,6.53,708.8,56.9,23.0,42.7,bacterial_wilt
32.2,24.9,6.29,523.4,34.9,26.4,37.1,bacterial_wilt
36.5,30.6,6.64,522.0,54.1,24.6,30.9,bacterial_wilt
36.2,26.5,6.11,636.5,40.9,22.5,55.1,bacterial_wilt
20.2,29.0,6.81,622.2,42.4,20.6,56.2,bacterial_wilt
24.3,22.5,6.27,634.0,48.0,32.3,54.6,bacterial_wilt
31.7,23.2,6.94,781.5,59.7,22.6,51.5,bacterial_wilt
36.5,23.9,6.61,559.4,30.4,29.7,44.0,bacterial_wilt
33.0,27.8,6.57,705.0,39.8,39.2,40.6,bacterial_wilt
