moisture,temperature,ph,ec,nitrogen,phosphorus,potassium,disease
19.5,28.0,6.37,767.5,36.0,44.1,43.7,fusarium_basal_rot
17.0,22.2,5.61,552.6,36.4,33.2,45.8,fusarium_basal_rot
21.6,22.9,5.72,648.7,37.8,42.4,40.8,fusarium_basal_rot
19.4,26.7,5.94,566.5,43.1,37.3,39.8,fusarium_basal_rot
21.0,26.0,5.82,741.1,45.4,49.1,33.5,fusarium_basal_rot
27.6,23.9,6.04,696.2,38.5,49.8,31.9,fusarium_basal_rot
25.9,22.5,6.49,853.1,42.1,45.2,47.5,fusarium_basal_rot
27.4,26.1,6.13,770.1,36.1,46.4,43.6,fusarium_basal_rot
15.2,23.5,5.56,871.0,40.6,39.5,46.1,fusarium_basal_rot
25.8,23.4,5.7,655.1,49.1,37.6,42.5,fusarium_basal_rot
24.3,24.4,5.53,690.1,45.6,48.6,38.3,fusarium_basal_rot
29.4,22.1,5.55,713.5,45.1,33.0,35.7,fusarium_basal_rot
29.1,23.2,5.79,838.1,37.4,33.7,46.5,fusarium_basal_rot
22.2,24.3,6.37,609.7,31.0,40.7,43.9,fusarium_basal_rot
22.1,26.0,5.96,856.7,33.7,49.7,49.7,fusarium_basal_rot
27.8,27.0,6.02,895.2,36.5,43.8,36.7,fusarium_basal_rot
22.0,26.3,6.4,880.4,37.4,42.5,43.5,fusarium_basal_rot
18.3,25.4,6.23,517.3,44.7,42.2,45.1,fusarium_basal_rot
23.5,27.7,6.22,895.4,31.7,41.4,46.3,fusarium_basal_rot
29.2,20.0,5.65,824.8,49.8,35.8,46.0,fusarium_basal_rot
20.3,22.9,6.45,754.8,39.1,37.6,34.0,fusarium_basal_rot
24.5,23.8,5.66,824.5,43.5,42.2,46.2,fusarium_basal_rot
21.1,20.9,5.77,867.3,49.0,35.7,37.2,fusarium_basal_rot
15.2,25.9,5.98,619.9,48.2,49.2,45.5,fusarium_basal_rot
17.1,26.5,5.97,874.4,38.1,30.7,49.1,fusarium_basal_rot
29.5,24.9,5.82,626.0,35.9,49.4,40.0,fusarium_basal_rot
17.5,22.1,6.36,748.0,48.6,35.6,41.6,fusarium_basal_rot
15.2,20.5,5.99,878.3,30.7,48.4,49.7,fusarium_basal_rot
29.3,27.5,6.16,890.2,48.0,46.5,44.7,fusarium_basal_rot
26.0,25.3,5.89,757.7,44.2,34.7,44.7,fusarium_basal_rot
19.7,23.7,6.09,732.1,35.1,40.2,42.3,fusarium_basal_rot
24.6,26.8,5.69,831.1,35.0,46.6,40.8,fusarium_basal_rot
23.2,22.1,5.58,525.4,39.7,43.5,41.7,fusarium_basal_rot
20.5,20.5,5.63,670.0,49.6,38.6,44.5,fusarium_basal_rot
28.9,23.4,5.67,597.5,35.5,44.8,34.0,fusarium_basal_rot
21.6,21.6,5.99,505.8,46.8,35.6,39.9,fusarium_basal_rot
17.1,21.2,6.03,771.9,44.0,44.5,40.1,fusarium_basal_rot
16.8,22.4,6.01,889.2,50.0,47.6,42.5,fusarium_basal_rot
18.9,25.1,6.15,857.0,38.0,35.8,43.2,fusarium_basal_rot
29.7,22.6,5.85,716.4,34.5,41.0,30.9,fusarium_basal_rot
28.9,21.9,5.83,872.1,36.8,42.4,41.3,fusarium_basal_rot
15.6,24.3,5.99,556.1,48.5,48.8,37.7,fusarium_basal_rot
24.5,21.2,5.91,785.6,41.0,39.5,39.3,fusarium_basal_rot
28.4,23.4,6.08,842.0,39.4,45.5,45.5,fusarium_basal_rot
20.8,23.7,6.37,528.0,40.4,34.2,38.6,fusarium_basal_rot
22.1,23.3,5.96,801.6,45.8,38.3,47.6,fusarium_basal_rot
28.9,21.7,6.21,630.3,31.8,44.0,41.3,fusarium_basal_rot
23.5,25.7,5.87,552.1,49.3,39.3,44.3,fusarium_basal_rot
18.9,21.0,5.68,744.3,40.8,49.9,41.3,fusarium_basal_rot
24.6,26.9,5.59,800.3,35.3,30.4,39.1,fusarium_basal_rot
21.2,26.9,5.5,522.4,41.0,38.2,39.0,fusarium_basal_rot
25.6,27.5,6.28,589.2,39.4,49.4,38.1,fusarium_basal_rot
19.4,22.8,6.01,644.6,31.8,40.2,41.5,fusarium_basal_rot
22.6,24.6,5.74,529.9,31.1,36.0,37.5,fusarium_basal_rot
17.6,27.2,6.07,541.0,46.3,35.2,48.0,fusarium_basal_rot
19.5,23.0,5.76,701.6,32.1,34.0,42.2,fusarium_basal_rot
28.8,21.3,5.84,858.1,37.0,33.6,39.9,fusarium_basal_rot
24.8,20.6,5.67,699.7,43.7,48.7,35.3,fusarium_basal_rot
27.1,22.0,6.29,785.1,30.3,43.4,43.4,fusarium_basal_rot
27.3,22.8,5.99,552.4,46.3,48.0,30.4,fusarium_basal_rot
15.0,20.2,6.07,723.9,34.4,44.3,43.1,fusarium_basal_rot
27.1,27.6,5.65,724.8,45.4,34.0,39.6,fusarium_basal_rot
22.0,26.7,5.93,578.0,40.5,30.7,35.0,fusarium_basal_rot
26.3,24.9,6.24,843.0,34.3,35.8,45.7,fusarium_basal_rot
23.6,21.7,5.93,687.9,42.3,41.6,45.2,fusarium_basal_rot
15.6,24.4,5.55,838.5,38.8,37.6,49.7,fusarium_basal_rot
29.0,25.6,6.1,598.4,42.2,32.7,48.4,fusarium_basal_rot
24.0,27.9,5.52,791.9,49.0,32.1,41.6,fusarium_basal_rot
21.9,25.2,5.75,532.7,35.1,46.2,33.5,fusarium_basal_rot
25.7,24.8,5.75,559.4,32.8,43.8,37.0,fusarium_basal_rot
26.2,20.8,5.74,891.4,44.0,30.1,39.6,fusarium_basal_rot
15.2,23.0,6.19,661.5,34.4,38.3,37.2,fusarium_basal_rot
18.1,20.0,5.7,667.6,49.0,31.7,44.9,fusarium_basal_rot
22.8,22.3,5.7,864.0,42.2,41.3,42.5,fusarium_basal_rot
28.7,26.0,6.06,575.2,30.5,47.4,43.7,fusarium_basal_rot
19.7,26.3,5.72,893.2,46.3,32.8,47.5,fusarium_basal_rot
24.1,25.3,6.35,585.3,41.7,40.5,30.7,fusarium_basal_rot
29.2,25.0,6.34,779.3,35.7,47.5,37.2,fusarium_basal_rot
27.7,25.0,6.37,743.4,46.2,36.0,49.3,fusarium_basal_rot
15.7,27.6,5.52,798.4,36.0,40.3,40.5,fusarium_basal_rot
29.9,27.6,5.84,793.7,33.1,48.0,34.7,fusarium_basal_rot
29.2,21.1,5.67,529.4,46.3,45.6,46.9,fusarium_basal_rot
19.6,26.2,5.7,607.1,40.0,36.5,36.4,fusarium_basal_rot
28.9,22.5,6.29,808.0,46.6,46.2,36.7,fusarium_basal_rot
27.9,25.7,5.79,832.8,34.7,30.8,37.1,fusarium_basal_rot
24.9,21.9,6.08,742.5,31.5,43.7,32.1,fusarium_basal_rot
21.3,25.2,6.2,512.3,41.7,49.9,47.2,fusarium_basal_rot
21.9,21.4,5.53,560.5,43.0,34.7,33.1,fusarium_basal_rot
29.8,21.0,5.5,515.2,40.2,44.1,45.0,fusarium_basal_rot
23.8,22.1,6.01,897.5,35.2,48.9,35.3,fusarium_basal_rot
22.6,22.2,6.21,644.0,34.2,41.2,37.6,fusarium_basal_rot
16.0,22.6,6.25,620.5,38.5,48.0,33.5,fusarium_basal_rot
23.3,25.5,5.78,702.9,41.6,43.1,30.6,fusarium_basal_rot
24.5,20.6,6.15,757.6,48.5,44.5,48.9,fusarium_basal_rot
25.6,26.9,5.75,772.8,45.1,49.1,42.5,fusarium_basal_rot
25.7,23.1,6.29,868.5,46.2,30.5,31.3,fusarium_basal_rot
18.9,24.6,6.4,718.4,32.6,46.4,42.0,fusarium_basal_rot
22.4,26.7,6.13,843.3,30.6,49.0,43.4,fusarium_basal_rot
23.2,27.5,6.35,626.3,38.0,41.2,30.2,fusarium_basal_rot
29.0,27.5,6.07,574.2,43.9,48.6,39.0,fusarium_basal_rot
16.8,21.6,6.13,759.5,38.9,41.2,38.3,fusarium_basal_rot
20.8,23.9,5.74,560.7,42.3,37.3,48.1,fusarium_basal_rot
25.2,24.8,5.52,539.5,44.5,44.3,48.2,fusarium_basal_rot
27.1,28.0,5.96,820.8,47.4,35.0,33.0,fusarium_basal_rot
19.9,26.9,6.37,559.5,33.3,48.5,48.5,fusarium_basal_rot
23.6,23.2,5.9,617.8,50.0,34.7,47.8,fusarium_basal_rot
21.2,25.5,6.23,501.3,35.7,39.6,35.3,fusarium_basal_rot
15.5,21.0,5.58,542.9,30.5,44.7,39.7,fusarium_basal_rot
20.9,26.8,5.82,652.1,47.8,31.1,43.1,fusarium_basal_rot
16.4,21.7,5.77,753.3,33.9,40.0,43.2,fusarium_basal_rot
16.3,20.7,6.1,536.9,39.2,37.8,30.3,fusarium_basal_rot
17.2,24.3,6.3,588.0,37.5,32.0,35.3,fusarium_basal_rot
22.7,23.6,6.28,652.5,30.5,38.3,42.3,fusarium_basal_rot
15.4,27.4,5.58,533.9,37.8,36.1,34.5,fusarium_basal_rot
15.5,27.1,5.81,690.9,41.6,39.7,44.8,fusarium_basal_rot
25.0,22.5,6.27,703.8,41.7,36.4,41.8,fusarium_basal_rot
26.3,27.9,6.26,758.9,46.0,45.1,40.6,fusarium_basal_rot
27.1,24.4,5.98,638.9,49.3,37.5,35.4,fusarium_basal_rot
15.2,28.0,5.94,604.5,41.3,39.5,39.8,fusarium_basal_rot
15.8,26.3,6.06,544.0,45.4,36.9,31.1,fusarium_basal_rot
17.9,27.9,5.64,625.6,32.9,31.5,44.8,fusarium_basal_rot
19.2,25.0,5.69,693.5,34.2,45.1,31.9,fusarium_basal_rot
19.9,23.1,6.18,728.8,47.9,44.7,44.3,fusarium_basal_rot
25.7,26.1,5.61,762.6,34.0,38.9,50.0,fusarium_basal_rot
23.9,24.7,6.15,709.4,46.6,47.3,34.9,fusarium_basal_rot
26.9,20.7,5.67,590.9,37.9,44.5,33.3,fusarium_basal_rot
17.7,26.5,6.01,559.4,42.8,31.7,48.9,fusarium_basal_rot
16.3,22.7,5.61,818.2,48.6,38.9,37.4,fusarium_basal_rot
23.0,27.1,6.27,874.8,49.9,32.2,34.2,fusarium_basal_rot
26.3,22.0,6.15,891.0,35.6,31.9,38.0,fusarium_basal_rot
27.4,23.8,6.43,667.5,31.5,48.8,31.7,fusarium_basal_rot
27.1,27.5,6.29,853.0,47.2,32.4,43.2,fusarium_basal_rot
24.5,25.5,5.62,550.4,41.0,41.0,49.4,fusarium_basal_rot
20.0,26.7,5.98,817.5,44.6,31.9,45.7,fusarium_basal_rot
27.3,25.4,6.24,790.7,34.4,32.4,44.9,fusarium_basal_rot
24.1,25.2,6.34,760.7,33.9,31.3,43.0,fusarium_basal_rot
19.4,23.3,5.75,848.4,37.6,35.9,41.0,fusarium_basal_rot
27.4,20.4,5.76,776.9,42.0,34.3,44.6,fusarium_basal_rot
20.9,20.9,6.3,898.0,44.3,40.1,48.6,fusarium_basal_rot
23.5,27.1,6.14,585.0,42.9,42.2,44.9,fusarium_basal_rot
27.5,22.3,5.64,813.2,33.4,43.3,44.5,fusarium_basal_rot
15.4,25.7,6.03,694.1,47.7,39.9,30.3,fusarium_basal_rot
26.4,23.7,6.15,659.2,33.9,32.9,37.3,fusarium_basal_rot
23.5,20.1,6.17,676.3,47.1,30.0,47.9,fusarium_basal_rot
20.8,22.3,5.94,844.2,42.8,47.7,45.2,fusarium_basal_rot
15.2,24.2,6.34,785.8,44.7,41.9,31.0,fusarium_basal_rot
25.4,21.6,6.5,642.9,30.5,41.9,35.7,fusarium_basal_rot
16.2,23.5,5.65,884.7,47.7,30.4,43.5,fusarium_basal_rot
29.7,23.2,6.35,625.8,43.9,49.9,31.7,fusarium_basal_rot
26.5,22.8,6.25,775.5,35.6,48.5,35.1,fusarium_basal_rot
22.5,20.9,6.21,771.7,32.4,30.2,49.1,fusarium_basal_rot
15.4,23.9,5.99,852.1,48.6,30.6,33.4,fusarium_basal_rot
25.8,25.1,5.6,627.8,46.9,46.9,33.7,fusarium_basal_rot
15.6,27.2,6.24,740.2,37.4,37.1,41.7,fusarium_basal_rot
26.0,23.0,5.89,745.9,34.9,46.0,38.8,fusarium_basal_rot
29.7,25.1,5.76,883.0,30.9,40.2,50.0,fusarium_basal_rot
15.7,24.8,6.21,586.5,47.8,47.4,41.4,fusarium_basal_rot
21.7,21.9,6.37,781.9,32.1,31.3,35.3,fusarium_basal_rot
20.0,24.6,6.37,715.2,50.0,36.1,34.3,fusarium_basal_rot
23.6,25.2,6.46,818.0,46.4,43.7,37.6,fusarium_basal_rot
22.9,23.2,5.55,832.5,30.6,34.6,47.6,fusarium_basal_rot
29.0,22.3,6.1,729.3,36.4,46.5,32.3,fusarium_basal_rot
24.7,22.3,6.27,615.3,33.2,35.2,39.8,fusarium_basal_rot
21.1,22.3,5.59,790.8,48.7,39.5,34.8,fusarium_basal_rot
22.4,20.4,6.3,761.7,38.3,45.8,43.0,fusarium_basal_rot
16.0,26.7,6.4,816.4,47.7,41.8,43.9,fusarium_basal_rot
15.8,27.9,6.23,882.5,31.1,39.4,37.4,fusarium_basal_rot
21.2,27.0,5.97,580.5,38.6,33.7,41.9,fusarium_basal_rot
28.9,26.3,6.2,717.1,48.1,43.2,37.7,fusarium_basal_rot
23.8,27.8,5.98,632.1,31.6,38.2,33.7,fusarium_basal_rot
23.9,22.7,5.85,822.9,35.9,47.6,33.6,fusarium_basal_rot
27.0,22.2,6.22,522.6,35.1,30.5,43.9,fusarium_basal_rot
20.9,25.8,6.36,675.7,35.2,42.4,33.5,fusarium_basal_rot
22.8,25.6,6.46,821.5,33.0,40.3,48.0,fusarium_basal_rot
19.7,20.8,6.36,789.1,31.3,45.2,31.5,fusarium_basal_rot
21.1,24.3,6.4,741.7,49.7,43.6,34.3,fusarium_basal_rot
29.4,26.7,5.66,754.8,46.8,33.6,39.7,fusarium_basal_rot
22.7,22.9,6.23,718.0,34.0,39.7,36.0,fusarium_basal_rot
27.4,27.7,6.23,726.9,30.7,45.4,34.6,fusarium_basal_rot
20.2,20.9,6.12,860.6,31.4,33.1,35.8,fusarium_basal_rot
19.4,25.7,5.73,884.0,38.5,42.4,44.3,fusarium_basal_rot
16.1,22.8,6.18,605.4,37.8,40.4,35.1,fusarium_basal_rot
19.0,26.9,6.17,776.7,34.4,49.7,36.9,fusarium_basal_rot
29.0,23.1,5.69,577.0,47.2,33.5,36.8,fusarium_basal_rot
18.5,27.7,5.97,659.2,38.2,39.8,35.5,fusarium_basal_rot
